SPONSORED,,,,,,,,
,,,,,,,,
,,,,,,,,
DomesticInternationalWorldwideCalendarAll TimeShowdownsIndices,,,,,,,,
Daily,,,,,,,,
WeekendWeeklyMonthlyQuarterlyYearlySeasonsHolidays,,,,,,,,
Daily Box Office For 2022,,,,,,,,
Year,,,,,,,,
,,,,,,,,
2022,,,,,,,,
"Data as of Jan 27, 1:38 PST",,,,,,,,
Date,Day,Day #,Top 10 Gross,%± YD,%± LW,Releases,#1 Release,Gross
31-Dec,Saturday,365,"$27,962,493 ",-26.20%,31.60%,30,Avatar: The Way of Water,"$18,053,159 "
New Year's Eve,,,,,,,,
30-Dec,Friday,364,"$37,900,613 ",21.50%,29.70%,30,Avatar: The Way of Water,"$24,836,835 "
29-Dec,Thursday,363,"$31,204,428 ",-2.10%,55.20%,27,Avatar: The Way of Water,"$20,117,061 "
28-Dec,Wednesday,362,"$31,866,473 ",-14.70%,49.50%,27,Avatar: The Way of Water,"$20,582,014 "
27-Dec,Tuesday,361,"$37,343,124 ",-20.50%,70.30%,27,Avatar: The Way of Water,"$24,128,503 "
26-Dec,Monday,360,"$46,963,277 ",8%,146.50%,28,Avatar: The Way of Water,"$32,270,430 "
25-Dec,Sunday,359,"$43,485,546 ",-23%,-54.60%,27,Avatar: The Way of Water,"$29,179,791 "
Christmas Day,,,,,,,,
24-Dec,Saturday,358,"$21,255,461 ",-27.20%,-58.70%,27,Avatar: The Way of Water,"$14,869,288 "
23-Dec,Friday,357,"$29,211,733 ",45.30%,-49.50%,27,Avatar: The Way of Water,"$19,289,141 "
22-Dec,Thursday,356,"$20,101,091 ",-5.70%,780.50%,29,Avatar: The Way of Water,"$14,632,040 "
21-Dec,Wednesday,355,"$21,315,270 ",-2.80%,606.10%,30,Avatar: The Way of Water,"$14,403,438 "
20-Dec,Tuesday,354,"$21,925,733 ",15.10%,457.50%,30,Avatar: The Way of Water,"$18,288,904 "
19-Dec,Monday,353,"$19,052,001 ",-54.90%,548.30%,29,Avatar: The Way of Water,"$16,257,078 "
18-Dec,Sunday,352,"$42,230,148 ",-17.90%,344%,30,Avatar: The Way of Water,"$36,572,069 "
World Cup (Qatar),,,,,,,,
17-Dec,Saturday,351,"$51,418,191 ",-11.10%,225.40%,29,Avatar: The Way of Water,"$44,327,887 "
World Cup (Qatar),,,,,,,,
16-Dec,Friday,350,"$57,866,360 ",2434.70%,554.10%,29,Avatar: The Way of Water,"$53,200,270 "
World Cup (Qatar),,,,,,,,
15-Dec,Thursday,349,"$2,282,964 ",-96%,-39.80%,32,Black Panther: Wakanda Forever,"$688,851 "
World Cup (Qatar),,,,,,,,
14-Dec,Wednesday,348,"$3,018,611 ",-23.20%,-93.30%,33,Black Panther: Wakanda Forever,"$909,059 "
World Cup (Qatar),,,,,,,,
13-Dec,Tuesday,347,"$3,932,901 ",33.80%,-28.80%,35,Black Panther: Wakanda Forever,"$1,144,342 "
World Cup (Qatar),,,,,,,,
12-Dec,Monday,346,"$2,938,862 ",-69.10%,-24.50%,33,Black Panther: Wakanda Forever,"$903,453 "
World Cup (Qatar),,,,,,,,
11-Dec,Sunday,345,"$9,510,921 ",-38.50%,-28.60%,35,Black Panther: Wakanda Forever,"$3,195,195 "
World Cup (Qatar),,,,,,,,
10-Dec,Saturday,344,"$15,466,337 ",74.80%,-28.90%,36,Black Panther: Wakanda Forever,"$5,178,818 "
World Cup (Qatar),,,,,,,,
9-Dec,Friday,343,"$8,846,320 ",133.20%,-37.30%,34,Black Panther: Wakanda Forever,"$2,860,689 "
World Cup (Qatar),,,,,,,,
8-Dec,Thursday,342,"$3,792,849 ",-3.80%,-20.40%,29,Black Panther: Wakanda Forever,"$1,165,072 "
World Cup (Qatar),,,,,,,,
7-Dec,Wednesday,341,"$3,943,414 ",-28.60%,-10.50%,28,Black Panther: Wakanda Forever,"$1,144,653 "
World Cup (Qatar),,,,,,,,
6-Dec,Tuesday,340,"$5,526,292 ",41.90%,-5.50%,30,Black Panther: Wakanda Forever,"$1,567,075 "
World Cup (Qatar),,,,,,,,
5-Dec,Monday,339,"$3,895,004 ",-70.80%,-15.30%,29,Black Panther: Wakanda Forever,"$1,162,850 "
World Cup (Qatar),,,,,,,,
4-Dec,Sunday,338,"$13,327,779 ",-38.70%,-33.70%,29,Black Panther: Wakanda Forever,"$4,908,833 "
World Cup (Qatar),,,,,,,,
3-Dec,Saturday,337,"$21,746,080 ",54.10%,-36.20%,31,Black Panther: Wakanda Forever,"$8,171,837 "
World Cup (Qatar),,,,,,,,
2-Dec,Friday,336,"$14,111,815 ",196%,-60.30%,29,Violent Night,"$4,869,770 "
World Cup (Qatar),,,,,,,,
1-Dec,Thursday,335,"$4,767,528 ",-89.90%,-72.10%,25,Black Panther: Wakanda Forever,"$1,851,240 "
World Cup (Qatar),,,,,,,,
30-Nov,Wednesday,334,"$4,405,292 ",-24.70%,23.50%,24,Black Panther: Wakanda Forever,"$1,918,716 "
World Cup (Qatar),,,,,,,,
29-Nov,Tuesday,333,"$5,848,911 ",27.20%,-58.60%,25,Black Panther: Wakanda Forever,"$2,681,411 "
World Cup (Qatar),,,,,,,,
28-Nov,Monday,332,"$4,597,554 ",-77.10%,928698.80%,24,Black Panther: Wakanda Forever,"$2,208,258 "
World Cup (Qatar),,,,,,,,
27-Nov,Sunday,331,"$20,116,146 ",-40.90%,-28.80%,28,Black Panther: Wakanda Forever,"$9,754,235 "
World Cup (Qatar),,,,,,,,
26-Nov,Saturday,330,"$34,060,152 ",-4.20%,5052.20%,29,Black Panther: Wakanda Forever,"$17,599,193 "
World Cup (Qatar),,,,,,,,
25-Nov,Friday,329,"$35,559,618 ",107.90%,-77.50%,29,Black Panther: Wakanda Forever,"$18,230,476 "
World Cup (Qatar),,,,,,,,
24-Nov,Thursday,328,"$17,101,407 ",-13.70%,-46.20%,30,Black Panther: Wakanda Forever,"$8,164,083 "
Thanksgiving,,,,,,,,
World Cup (Qatar),,,,,,,,
23-Nov,Wednesday,327,"$21,821,636 ",54.50%,123%,32,Black Panther: Wakanda Forever,"$10,052,869 "
World Cup (Qatar),,,,,,,,
22-Nov,Tuesday,326,"$14,128,236 ",861.80%,-4.90%,29,Black Panther: Wakanda Forever,"$9,492,924 "
World Cup (Qatar),,,,,,,,
21-Nov,Monday,325,"$11,288,507 ",-92.90%,-11.60%,29,Black Panther: Wakanda Forever,"$7,002,759 "
World Cup (Qatar),,,,,,,,
20-Nov,Sunday,324,"$28,259,098 ",-31.50%,-40%,29,Black Panther: Wakanda Forever,"$19,710,460 "
19-Nov,Saturday,323,"$41,248,978 ",39.90%,-38.10%,29,Black Panther: Wakanda Forever,"$28,772,668 "
18-Nov,Friday,322,"$29,488,645 ",229.90%,-68.30%,29,Black Panther: Wakanda Forever,"$17,999,138 "
17-Nov,Thursday,321,"$8,937,676 ",-8.60%,169.30%,27,Black Panther: Wakanda Forever,"$7,480,079 "
16-Nov,Wednesday,320,"$9,783,542 ",-34.10%,169.20%,29,Black Panther: Wakanda Forever,"$8,110,601 "
15-Nov,Tuesday,319,"$14,854,835 ",16.30%,135.10%,28,Black Panther: Wakanda Forever,"$12,636,707 "
14-Nov,Monday,318,"$12,776,780 ",-72.90%,206.10%,29,Black Panther: Wakanda Forever,"$11,125,499 "
13-Nov,Sunday,317,"$47,113,613 ",-29.30%,232.80%,29,Black Panther: Wakanda Forever,"$40,922,989 "
12-Nov,Saturday,316,"$66,610,882 ",-28.50%,196.10%,30,Black Panther: Wakanda Forever,"$56,131,051 "
11-Nov,Friday,315,"$93,156,358 ",2706.60%,440.50%,31,Black Panther: Wakanda Forever,"$84,285,721 "
10-Nov,Thursday,314,"$3,319,142 ",-8.70%,-24.70%,33,Black Adam,"$951,078 "
9-Nov,Wednesday,313,"$3,634,689 ",-42.50%,-19.80%,34,Black Adam,"$1,070,591 "
8-Nov,Tuesday,312,"$6,317,801 ",51.40%,-6.20%,33,Black Adam,"$2,055,912 "
7-Nov,Monday,311,"$4,174,057 ",-70.50%,-40.80%,34,Black Adam,"$1,328,183 "
6-Nov,Sunday,310,"$14,155,088 ",-37.10%,-22.60%,34,Black Adam,"$5,270,433 "
5-Nov,Saturday,309,"$22,499,016 ",30.50%,-13.80%,34,Black Adam,"$8,296,544 "
4-Nov,Friday,308,"$17,234,584 ",290.80%,-11.90%,34,One Piece Film: Red,"$4,838,903 "
3-Nov,Thursday,307,"$4,409,675 ",-2.70%,-31.80%,34,Black Adam,"$1,631,838 "
2-Nov,Wednesday,306,"$4,534,367 ",-32.70%,-35.30%,35,Black Adam,"$1,720,811 "
1-Nov,Tuesday,305,"$6,737,881 ",-4.40%,-36.40%,33,Black Adam,"$2,604,658 "
31-Oct,Monday,304,"$7,047,076 ",-61.40%,-14.30%,34,Black Adam,"$1,977,587 "
Halloween,,,,,,,,
30-Oct,Sunday,303,"$18,278,615 ",-30%,-34%,36,Black Adam,"$8,207,517 "
29-Oct,Saturday,302,"$26,108,515 ",33.50%,-36.90%,37,Black Adam,"$11,812,685 "
28-Oct,Friday,301,"$19,554,153 ",202.50%,-52.50%,37,Black Adam,"$7,451,938 "
27-Oct,Thursday,300,"$6,463,896 ",-7.80%,85.50%,35,Black Adam,"$3,124,177 "
26-Oct,Wednesday,299,"$7,009,550 ",-33.80%,69.20%,33,Black Adam,"$3,353,669 "
25-Oct,Tuesday,298,"$10,586,504 ",28.80%,82.70%,33,Black Adam,"$5,453,792 "
24-Oct,Monday,297,"$8,220,793 ",-70.30%,72.10%,34,Black Adam,"$4,502,706 "
